,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
31,15,4,4,4,10,5,4,4,4,4,7,0,6,5,11,11,9,11,2,2,7,8,2,7,2,2,10,13,11,12,5,11,12,7,7,8,6,13,12,8,8,10,4,7,7,10,12,7
32,3,10,13,11,5,9,3,8,7,7,3,3,3,8,7,10,6,5,6,13,13,12,4,15,0,10,9,9,6,4,0,8,0,0,0,0,5,9,6,6,5,11,2,2,2,2,2,10
33,12,3,3,3,8,8,10,11,11,6,9,13,8,10,9,11,5,9,7,7,2,7,4,4,8,8,2,8,14,4,13,9,6,9,4,4,10,6,5,5,4,4,7,1,1,1,1,1
34,12,4,4,4,8,8,12,15,4,4,10,13,12,4,4,4,7,7,10,11,11,11,12,8,12,7,10,9,12,10,13,12,7,1,10,9,12,7,10,5,9,11,8,7,10,6,5,12
35,12,15,4,7,1,8,8,4,4,7,1,7,12,4,4,10,11,13,12,4,4,8,8,8,10,6,6,12,8,10,9,11,6,9,9,12,6,13,5,11,5,13,4,8,0,8,1,10
36,2,7,3,3,3,7,2,7,3,3,3,7,2,7,3,3,3,10,2,10,11,5,6,13,2,8,10,11,5,12,2,8,10,9,5,13,2,10,9,6,6,12,11,9,6,11,6,12
37,1,1,8,3,3,10,1,1,7,3,3,8,1,1,7,3,3,8,6,11,12,3,3,10,14,10,12,3,3,7,4,8,7,3,3,8,4,10,12,3,3,7,4,10,12,3,3,8
38,15,10,6,11,12,3,4,10,5,9,12,3,4,10,11,11,13,6,4,8,10,9,12,2,4,8,10,11,12,2,11,12,10,13,12,2,8,7,10,12,10,6,9,12,10,13,12,2
39,13,9,5,11,11,11,10,11,6,13,12,8,8,7,15,8,10,9,8,10,4,8,8,4,7,8,4,7,8,4,13,13,11,13,12,4,13,9,12,10,9,6,12,0,8,10,6,5
40,0,8,2,10,11,13,0,10,5,12,8,8,5,12,15,8,10,12,11,9,4,7,8,7,10,5,5,12,10,9,13,6,6,12,8,4,9,5,6,12,10,6,11,6,6,13,13,5
41,8,3,10,11,6,11,13,6,12,7,0,7,13,5,12,10,5,12,8,1,7,7,15,8,9,6,12,7,4,10,6,6,12,7,4,7,2,2,8,7,4,8,2,2,10,12,4,7
42,0,7,15,4,10,5,0,7,4,4,7,1,0,7,4,4,8,1,0,8,4,4,8,1,6,12,4,4,7,1,3,10,11,6,13,11,3,8,7,2,7,10,6,12,7,2,10,9
